"","Site","Lvl.Dens","Wood_den_ab","Wood_den_percentage"
"1","MF1","dataset",47,2.22960151802657
"2","MF1","family",3,0.142314990512334
"3","MF1","genus",969,45.9677419354839
"4","MF1","species",1089,51.6603415559772
"5","MF2","dataset",127,7.94246404002502
"6","MF2","genus",745,46.5916197623515
"7","MF2","species",727,45.4659161976235
"8","MF3","dataset",47,2.45944531658817
"9","MF3","genus",1481,77.4986917844061
"10","MF3","species",383,20.0418628990058
"11","MF4","dataset",20,1.41043723554302
"12","MF4","genus",1088,76.7277856135402
"13","MF4","species",310,21.8617771509168
"14","MF5","dataset",39,1.76710466696874
"15","MF5","genus",1556,70.502945174445
"16","MF5","species",612,27.7299501585863
"17","MF6","dataset",26,2.35081374321881
"18","MF6","genus",622,56.2386980108499
"19","MF6","species",458,41.4104882459313
